"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-17","2019-05-20","00:00:00","","05","12","0"
"2019-02-24","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-03-05","2019-03-06","00:00:00","","03","20","0"
"2019-02-24","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-03-21","2019-03-22","00:00:00","","03","20","0"
"2019-02-24","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40811827","2019-02-04","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","20","20"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-11","2019-06-12","00:00:00","","06","3","0"
"2019-02-24","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-03-12","2019-03-13","00:00:00","","03","20","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-02","2019-05-03","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-21","2019-06-24","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-09","2019-05-10","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-29","2019-05-30","00:00:00","","05","11","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-21","2019-05-22","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-07","2019-05-08","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-19","2019-06-20","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-04","2019-06-05","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-07","2019-06-10","00:00:00","","06","3","0"
"2019-02-24","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40856375","2019-02-22","2019-02-23","2019-02-25","00:00:00","2019/02/25","02","13","13"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-03","2019-05-06","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-14","2019-06-17","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-24","2019-05-27","00:00:00","","05","12","0"
"2019-02-24","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40832928","2019-02-12","2019-02-13","2019-02-14","00:00:00","2019/02/14","02","11","11"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-15","2019-05-16","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-13","2019-05-14","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-26","2019-06-27","00:00:00","","06","3","0"
"2019-02-24","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-03-15","2019-03-18","00:00:00","","03","20","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-12","2019-06-13","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-27","2019-05-28","00:00:00","","05","11","0"
"2019-02-24","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-03-26","2019-03-27","00:00:00","","03","20","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-20","2019-05-21","00:00:00","","05","12","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-24","2019-06-25","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-06-17","2019-06-18","00:00:00","","06","3","0"
"2019-02-24","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-23","2019-05-31","2019-06-03","00:00:00","","06","3","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40827301","2019-02-11","2019-02-11","2019-02-12","00:00:00","2019/02/12","02","20","20"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-13","2019-05-14","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-15","2019-05-16","00:00:00","","05","11","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-09","2019-03-11","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-08","2019-04-09","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-05","2019-06-06","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-22","2019-05-23","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-04","2019-04-05","00:00:00","","04","7","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-28","2019-03-29","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-30","2019-05-02","00:00:00","","05","11","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40848357","2019-02-20","2019-02-20","2019-02-20","00:00:00","2019/02/20","02","20","20"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-26","2019-04-27","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-27","2019-06-28","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-10","2019-06-11","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-06","2019-05-07","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-08","2019-05-09","00:00:00","","05","11","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40811827","2019-02-04","2019-02-05","2019-02-06","00:00:00","2019/02/06","02","20","20"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-02","2019-04-03","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-16","2019-05-17","00:00:00","","05","11","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-29","2019-03-30","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-30","2019-05-31","00:00:00","","05","10","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-10","2019-05-13","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-20","2019-06-21","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-28","2019-05-29","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-24","2019-04-25","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-14","2019-05-15","00:00:00","","05","11","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-22","2019-03-23","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-11","2019-04-12","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-13","2019-06-14","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-03","2019-06-04","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-22","2019-04-23","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-05","2019-04-08","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-06","2019-06-07","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-25","2019-06-26","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-23","2019-05-24","00:00:00","","05","11","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40832928","2019-02-12","2019-02-13","2019-02-14","00:00:00","2019/02/14","02","11","11"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-18","2019-06-19","00:00:00","","06","4","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40856375","2019-02-22","2019-02-23","2019-02-25","00:00:00","2019/02/25","02","13","13"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-29","2019-04-30","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-09","2019-04-10","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-11","2019-06-12","00:00:00","","06","4","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-06","2019-03-07","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-02","2019-05-03","00:00:00","","05","11","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-14","2019-03-15","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-21","2019-06-24","00:00:00","","06","4","0"
"2019-02-25","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-03-18","2019-03-19","00:00:00","","03","20","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-29","2019-05-30","00:00:00","","05","10","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-03","2019-04-04","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-21","2019-05-22","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-19","2019-06-20","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-04","2019-06-05","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-07","2019-05-08","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-07","2019-06-10","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-14","2019-06-17","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-03","2019-05-06","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-24","2019-05-27","00:00:00","","05","11","0"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40806124","2019-01-31","2019-02-02","2019-02-04","00:00:00","2019/02/04","02","20","20"
"2019-02-25","1:Firm","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","40820345","2019-02-07","2019-02-08","2019-02-09","00:00:00","2019/02/09","02","20","20"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-01","2019-04-02","00:00:00","","04","8","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-25","2019-04-26","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-10","2019-04-11","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-26","2019-06-27","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-12","2019-04-22","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-12","2019-06-13","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-23","2019-04-24","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-04-27","2019-04-29","00:00:00","","04","7","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-17","2019-05-20","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-27","2019-05-28","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-20","2019-05-21","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-24","2019-06-25","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-06-17","2019-06-18","00:00:00","","06","4","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-09","2019-05-10","00:00:00","","05","11","0"
"2019-02-25","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-25","2019-05-31","2019-06-03","00:00:00","","06","4","0"
"2019-02-26","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-06-20","2019-06-21","00:00:00","","06","3","0"
"2019-02-26","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-04-08","2019-04-09","00:00:00","","04","8","0"
"2019-02-26","2:Daily forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-03-07","2019-03-08","00:00:00","","03","20","0"
"2019-02-26","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-04-27","2019-04-29","00:00:00","","04","7","0"
"2019-02-26","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-06-13","2019-06-14","00:00:00","","06","3","0"
"2019-02-26","10:Total forecast","D20310","SKC-200","TC68214721","TC682-1472-1","FORK  (CLUTCH RELEASE)","E50B","","2019-02-26","2019-06-03","2019-06-04","00:00:00","","06","3","0"
