"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-30","2019-05-02","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-20","2019-05-21","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-11","2019-04-12","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-29","2019-05-30","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-18","2019-06-19","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-04","2019-04-05","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-29","2019-05-30","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-18","2019-06-19","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-13","2019-05-14","00:00:00","","653","0"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","21M9027885","2019-01-31","2019-02-02","2019-02-04","00:00:00","2019/02/04","30","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-15","2019-02-18","00:00:00","","30","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-03","2019-05-06","00:00:00","","39","0"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","21M9027916","2019-01-31","2019-02-07","2019-02-08","00:00:00","2019/02/08","30","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-15","2019-02-20","00:00:00","","60","0"
"2019-02-01","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","21M9027915","2019-01-31","2019-02-07","2019-02-08","00:00:00","2019/02/08","60","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5703","2019-01-31","2019-02-08","2019-02-09","00:00:00","2019/02/09","240","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-15","2019-02-16","00:00:00","","816","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-15","2019-05-16","00:00:00","","653","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5698","2019-01-31","2019-02-08","2019-02-09","00:00:00","2019/02/09","192","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-15","2019-02-18","00:00:00","","696","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","654","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5700","2019-01-31","2019-02-08","2019-02-09","00:00:00","2019/02/09","216","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-15","2019-02-20","00:00:00","","696","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-22","2019-05-23","00:00:00","","38","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5701","2019-01-31","2019-02-08","2019-02-09","00:00:00","2019/02/09","168","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-08","2019-02-11","00:00:00","","672","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-26","2019-03-27","00:00:00","","68","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-26","2019-03-27","00:00:00","","684","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-10","2019-06-11","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-10","2019-06-11","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-28","2019-03-29","00:00:00","","68","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-28","2019-03-29","00:00:00","","683","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-11","2019-03-12","00:00:00","","75","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-14","2019-03-15","00:00:00","","75","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-04","2019-04-05","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-11","2019-03-12","00:00:00","","695","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-14","2019-03-15","00:00:00","","694","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-22","2019-02-23","00:00:00","","60","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-22","2019-02-23","00:00:00","","912","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-22","2019-03-25","00:00:00","","69","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-22","2019-03-25","00:00:00","","684","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-02","2019-04-03","00:00:00","","654","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5665","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","192","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5667","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","240","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5668","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","168","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-08","2019-05-09","00:00:00","","653","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-22","2019-04-23","00:00:00","","25","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5670","2019-01-31","2019-02-01","2019-02-02","00:00:00","2019/02/02","216","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-22","2019-04-23","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-13","2019-06-14","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-13","2019-06-14","00:00:00","","653","0"
"2019-02-01","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-26","2019-02-27","00:00:00","","30","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-08","2019-05-09","00:00:00","","38","0"
"2019-02-01","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-26","2019-02-27","00:00:00","","888","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-25","2019-04-26","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-25","2019-04-26","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-18","2019-03-19","00:00:00","","75","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-18","2019-03-19","00:00:00","","694","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-21","2019-06-24","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-28","2019-03-01","00:00:00","","65","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-21","2019-06-24","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-02-28","2019-03-01","00:00:00","","557","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-12","2019-03-13","00:00:00","","75","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-27","2019-05-28","00:00:00","","38","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-03-12","2019-03-13","00:00:00","","695","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-05-27","2019-05-28","00:00:00","","652","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-01","2019-04-02","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-01","2019-04-02","00:00:00","","655","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-27","2019-04-29","00:00:00","","25","0"
"2019-02-01","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-03","2019-06-04","00:00:00","","42","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-04-27","2019-04-29","00:00:00","","654","0"
"2019-02-01","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-01-31","2019-06-03","2019-06-04","00:00:00","","653","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5686","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","168","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5682","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","192","0"
"2019-02-01","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5684","2019-01-31","2019-02-05","2019-02-06","00:00:00","2019/02/06","216","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-21","2019-05-22","00:00:00","","38","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-31","2019-06-03","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-21","2019-05-22","00:00:00","","652","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-11","2019-03-12","00:00:00","","75","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-11","2019-03-12","00:00:00","","642","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-12","2019-04-22","00:00:00","","25","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-07","2019-05-08","00:00:00","","38","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-07","2019-05-08","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-20","2019-03-21","00:00:00","","752","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-17","2019-06-18","00:00:00","","42","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-08","2019-04-09","00:00:00","","25","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-17","2019-06-18","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-08","2019-04-09","00:00:00","","653","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","21M9027900","2019-02-01","2019-02-05","2019-02-06","00:00:00","2019/02/06","60","0"
"2019-02-02","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-02-27","2019-02-28","00:00:00","","120","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5686","2019-02-01","2019-02-05","2019-02-06","00:00:00","2019/02/06","168","0"
"2019-02-02","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-02-27","2019-02-28","00:00:00","","672","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5682","2019-02-01","2019-02-05","2019-02-06","00:00:00","2019/02/06","192","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5684","2019-02-01","2019-02-05","2019-02-06","00:00:00","2019/02/06","216","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-12","2019-06-13","00:00:00","","42","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5685","2019-02-01","2019-02-05","2019-02-06","00:00:00","2019/02/06","192","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-12","2019-06-13","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-10","2019-05-13","00:00:00","","38","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-10","2019-05-13","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-24","2019-05-27","00:00:00","","652","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-20","2019-03-21","00:00:00","","69","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-25","2019-06-26","00:00:00","","42","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-24","2019-04-25","00:00:00","","25","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-25","2019-06-26","00:00:00","","652","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-24","2019-04-25","00:00:00","","653","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","21M9027908","2019-02-01","2019-02-06","2019-02-07","00:00:00","2019/02/07","30","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5692","2019-02-01","2019-02-06","2019-02-07","00:00:00","2019/02/07","168","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032492","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","30","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5687","2019-02-01","2019-02-06","2019-02-07","00:00:00","2019/02/07","168","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032491","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","30","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-20","2019-06-21","00:00:00","","42","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5689","2019-02-01","2019-02-06","2019-02-07","00:00:00","2019/02/07","240","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3722","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","168","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-26","2019-03-27","00:00:00","","752","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-20","2019-06-21","00:00:00","","653","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5691","2019-02-01","2019-02-06","2019-02-07","00:00:00","2019/02/07","168","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3718","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","168","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032519","2019-02-01","2019-02-13","2019-02-14","00:00:00","2019/02/14","30","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-24","2019-05-27","00:00:00","","38","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3719","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","168","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3737","2019-02-01","2019-02-13","2019-02-14","00:00:00","2019/02/14","192","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-05","2019-03-06","00:00:00","","64","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-17","2019-05-20","00:00:00","","38","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3721","2019-02-01","2019-02-11","2019-02-12","00:00:00","2019/02/12","192","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3731","2019-02-01","2019-02-13","2019-02-14","00:00:00","2019/02/14","168","0"
"2019-02-02","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-05","2019-03-06","00:00:00","","696","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-17","2019-05-20","00:00:00","","652","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3734","2019-02-01","2019-02-13","2019-02-14","00:00:00","2019/02/14","168","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-30","2019-05-02","00:00:00","","39","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3736","2019-02-01","2019-02-13","2019-02-14","00:00:00","2019/02/14","168","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-11","2019-04-12","00:00:00","","25","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-30","2019-05-02","00:00:00","","653","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3715","2019-02-01","2019-02-08","2019-02-11","00:00:00","2019/02/11","168","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-18","2019-03-19","00:00:00","","75","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-11","2019-04-12","00:00:00","","653","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3711","2019-02-01","2019-02-08","2019-02-11","00:00:00","2019/02/11","168","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-18","2019-03-19","00:00:00","","641","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-04","2019-04-05","00:00:00","","653","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3712","2019-02-01","2019-02-08","2019-02-11","00:00:00","2019/02/11","168","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3714","2019-02-01","2019-02-08","2019-02-11","00:00:00","2019/02/11","168","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5703","2019-02-01","2019-02-08","2019-02-09","00:00:00","2019/02/09","240","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5698","2019-02-01","2019-02-08","2019-02-09","00:00:00","2019/02/09","192","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5700","2019-02-01","2019-02-08","2019-02-09","00:00:00","2019/02/09","216","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","21M9BJ5701","2019-02-01","2019-02-08","2019-02-09","00:00:00","2019/02/09","168","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-09","2019-04-10","00:00:00","","25","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-03","2019-05-06","00:00:00","","39","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-04-09","2019-04-10","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-05-03","2019-05-06","00:00:00","","653","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-03-26","2019-03-27","00:00:00","","68","0"
"2019-02-02","2:Daily forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-02-21","2019-02-22","00:00:00","","30","0"
"2019-02-02","2:Daily forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-02-21","2019-02-22","00:00:00","","912","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032533","2019-02-01","2019-02-15","2019-02-18","00:00:00","2019/02/18","60","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032542","2019-02-01","2019-02-15","2019-02-20","00:00:00","2019/02/20","30","0"
"2019-02-02","1:Firm","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","22M9032541","2019-02-01","2019-02-15","2019-02-20","00:00:00","2019/02/20","30","0"
"2019-02-02","10:Total forecast","D20220","MMTH-Free Zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-05","2019-06-06","00:00:00","","42","0"
"2019-02-02","1:Firm","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","22M9BJ3749","2019-02-01","2019-02-15","2019-02-16","00:00:00","2019/02/16","168","0"
"2019-02-02","10:Total forecast","D20210","MEC-Free zone","1050B375","1050B375-LP","SU-4N15","","2019-02-01","2019-06-05","2019-06-06","00:00:00","","653","0"
