"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","QTY","SHIP_QTY"
"2019-02-01","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-01-31","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-01","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-01-31","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-02","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-01","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-02","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-01","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-03","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-02","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-03","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-02","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-04","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-04","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-04","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-04","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-05","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-05","2019-02-07","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-05","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-05","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-05","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-05","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-06","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-06","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-06","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-06","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-06","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-06","2019-02-07","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-07","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-07","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-07","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-07","2019-02-07","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-07","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-07","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-08","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-08","2019-02-08","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-08","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-08","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-09","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-09","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-09","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-08","2019-02-08","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-09","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-10","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-10","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-08","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-10","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-10","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-08","2019-02-08","2019-02-08","00:00:00","2019/02/08","3","0"
"2019-02-11","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-11","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-11","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-11","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-11","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-12","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-12","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-12","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-12","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-12","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-13","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-13","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-13","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-13","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-13","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-14","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-14","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-14","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-14","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-14","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-15","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-15","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-15","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-16","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-16","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-16","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-17","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-17","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-17","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-18","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-03-29","2019-04-01","00:00:00","","3","0"
"2019-02-18","1:Firm","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","L8C093763D","2019-02-04","2019-02-07","2019-02-08","08:00:00","2019/02/08","3","3"
"2019-02-18","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-19","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-02-28","2019-03-01","00:00:00","","3","0"
"2019-02-19","2:Daily forecast","D20230","MMCH","1050B375","1050B375-SP","4N15 (SU)","","2019-02-15","2019-03-29","2019-04-01","00:00:00","","3","0"
